"Time","Event",""
"00:00:10.894","Obamadin Flash of Light  Drédd +600",""
"00:00:20.253","Obamadin Flash of Light  Drédd +611",""
"00:00:22.627","Obamadin Flash of Light  Drédd +604",""
"00:00:31.543","Obamadin Flash of Light  Drédd +175 (O: 435)",""
"00:00:36.003","Obamadin Flash of Light  Drédd +610",""
"00:00:37.613","Obamadin Flash of Light  Drédd +*888*",""
"00:00:39.253","Obamadin Flash of Light  Drédd +601",""
"00:00:40.861","Obamadin Flash of Light  Drédd +*880*",""
"00:00:42.485","Obamadin Flash of Light  Drédd +589",""
"00:00:43.736","Obamadin Flash of Light  Drédd +0 (O: 593)",""
"00:00:45.347","Obamadin Flash of Light  Drédd +598",""
"00:00:49.367","Obamadin Flash of Light Heavenstouch +604",""
"00:00:51.001","Obamadin Flash of Light  Drédd +*891*",""
"00:00:52.719","Obamadin Flash of Light  Drédd +600",""
"00:00:54.222","Obamadin Flash of Light  Drédd +0 (O: 590)",""
"00:00:56.857","Obamadin Flash of Light Phylast +592",""
"00:00:58.344","Obamadin Flash of Light Phylast +597",""
"00:01:00.306","Obamadin Flash of Light Phylast +571 (O: 43)",""
"00:01:02.712","Obamadin Flash of Light  Drédd +608",""
"00:01:03.917","Obamadin Flash of Light Fearmachine +587",""
"00:01:09.988","Obamadin Flash of Light Aoki +607",""
"00:01:11.199","Obamadin Flash of Light  Drédd +0 (O: 594)",""
"00:01:14.024","Obamadin Flash of Light Aoki +600",""
"00:01:16.676","Obamadin Flash of Light  Drédd +589",""
"00:01:18.236","Obamadin Flash of Light  Drédd +*887*",""
"00:01:19.720","Obamadin Flash of Light  Drédd +*910*",""
"00:01:21.026","Obamadin Flash of Light  Drédd +601",""
"00:01:24.970","Obamadin Flash of Light  Drédd +588",""
"00:01:26.288","Obamadin Flash of Light  Drédd +165 (O: 442)",""
"00:01:27.804","Obamadin Flash of Light  Drédd +0 (O: 590)",""
"00:01:31.828","Obamadin Flash of Light  Drédd +424 (O: 165)",""
"00:01:33.501","Obamadin Flash of Light  Drédd +*0* (O: 901)",""
"00:01:35.891","Obamadin Flash of Light Fearmachine +595",""
"00:01:37.546","Obamadin Flash of Light Aoki +609",""
"00:01:39.108","Obamadin Flash of Light  Drédd +601",""
"00:01:40.712","Obamadin Flash of Light  Drédd +606",""
"00:01:42.068","Obamadin Flash of Light  Drédd +0 (O: 610)",""
"00:01:43.565","Obamadin Flash of Light  Drédd +*0* (O: 919)",""
"00:01:46.823","Obamadin Flash of Light  Drédd +*744* (O: 139)",""
"00:01:48.388","Obamadin Flash of Light  Drédd +302 (O: 297)",""
"00:01:50.834","Obamadin Flash of Light  Drédd +604",""
"00:01:52.487","Obamadin Flash of Light  Drédd +*867* (O: 48)",""
"00:01:56.903","Obamadin Flash of Light Krprincess +590",""
"00:01:58.501","Obamadin Flash of Light Krprincess +600",""
"00:02:01.517","Obamadin Flash of Light Fearmachine +*907*",""
"00:02:02.938","Obamadin Flash of Light Phylast +607",""
"00:02:04.173","Obamadin Flash of Light Phylast +611",""
"00:02:06.213","Obamadin Flash of Light Phylast +613",""
"00:02:07.516","Obamadin Flash of Light  Drédd +605",""
"00:02:09.029","Obamadin Flash of Light  Drédd +591",""
"00:02:10.706","Obamadin Flash of Light  Drédd +588",""
"00:02:12.287","Obamadin Flash of Light  Drédd +594",""
"00:02:13.908","Obamadin Flash of Light  Drédd +0 (O: 610)",""
"00:02:18.155","Obamadin Flash of Light Fearmachine +0 (O: 608)",""
"00:02:19.566","Obamadin Flash of Light Phylast +*883*",""
"00:02:23.212","Obamadin Flash of Light  Drédd +600",""
"00:02:25.247","Obamadin Flash of Light  Drédd +592",""
"00:02:27.079","Obamadin Flash of Light  Drédd +302",""
"00:02:31.087","Obamadin Flash of Light  Drédd +*155* (O: 731)",""
"00:02:32.569","Obamadin Flash of Light Fearmachine +599",""
"00:02:34.192","Obamadin Flash of Light Aoki +303",""
"00:02:35.778","Obamadin Flash of Light Aoki +302",""
"00:02:37.391","Obamadin Flash of Light Aoki +300",""
"00:02:38.615","Obamadin Flash of Light Aoki +295",""
"00:02:40.242","Obamadin Flash of Light  Drédd +587",""
"00:02:41.850","Obamadin Flash of Light  Drédd +614",""
"00:02:43.475","Obamadin Flash of Light  Drédd +418 (O: 181)",""
"00:02:44.696","Obamadin Flash of Light  Drédd +588",""
"00:02:46.301","Obamadin Flash of Light Aoki +605",""
"00:02:47.958","Obamadin Flash of Light Illpwnutoo +606",""
"00:02:49.544","Obamadin Flash of Light  Drédd +596",""
"00:02:51.197","Obamadin Flash of Light  Drédd +0 (O: 593)",""
"00:02:52.774","Obamadin Flash of Light Heavenstouch +197 (O: 411)",""
"00:02:55.272","Obamadin Flash of Light  Drédd +0 (O: 606)",""
"00:02:59.509","Obamadin Flash of Light Phylast +594",""
"00:03:01.378","Obamadin Flash of Light  Drédd +602",""
"00:03:02.911","Obamadin Flash of Light  Drédd +144 (O: 461)",""
"00:03:04.114","Obamadin Flash of Light  Drédd +*0* (O: 901)",""
"00:03:05.712","Obamadin Flash of Light Fearmachine +298",""
"00:03:09.002","Obamadin Flash of Light Fearmachine +294",""
"00:03:10.586","Obamadin Flash of Light  Drédd +605",""
"00:03:12.200","Obamadin Flash of Light  Drédd +594",""
"00:03:14.210","Obamadin Flash of Light  Drédd +0 (O: 600)",""
"00:03:17.033","Obamadin Flash of Light Bowtalks +607",""
"00:03:21.105","Obamadin Flash of Light Frat +595",""
